NAME,unemployment_rate_pct,median_hh_income,mean_hh_income,per_capita_income,poverty_rate_all_pct,poverty_rate_under18_pct,poverty_rate_18to64_pct,snap_pct,no_health_insurance_pct,work_from_home_pct,county_fips
"Autauga County, Alabama",1.4,69841,93367,83452,7.4,14632,2.7,8.8,92.6,19.0,01001
"Baldwin County, Alabama",1.9,75019,100105,92918,8.2,53342,4.9,6.8,91.8,19.3,01003
"Barbour County, Alabama",2.6,44290,64745,60474,10.8,5408,4.7,22.2,89.2,21.4,01005
"Bibb County, Alabama",5.1,51215,67735,67222,8.3,4611,1.5,20.3,91.7,20.1,01007
"Blount County, Alabama",3.3,61096,79203,76388,10.2,14287,2.2,12.3,89.8,19.6,01009
"Bullock County, Alabama",2.7,36723,51121,45975,12.9,2377,1.3,32.9,87.1,13.4,01011
"Butler County, Alabama",3.6,44881,69162,64429,12.3,4354,6.2,16.4,87.7,18.4,01013
"Calhoun County, Alabama",3.6,55826,71879,71552,11.1,26783,3.4,17.2,88.9,23.2,01015
"Chambers County, Alabama",2.7,49295,65673,63313,12.2,7369,4.6,17.1,87.8,21.0,01017
"Cherokee County, Alabama",1.7,50769,71062,66392,9.0,4923,1.4,11.5,91.0,25.9,01019
"Chilton County, Alabama",3.0,61873,75680,74137,10.1,11421,2.4,13.9,89.9,18.9,01021
"Choctaw County, Alabama",2.6,44483,63315,65982,8.2,2666,3.5,16.6,91.8,21.6,01023
"Clarke County, Alabama",6.6,49167,73965,72578,8.2,5346,1.1,22.5,91.8,20.7,01025
"Clay County, Alabama",1.7,51852,71247,61750,8.4,3141,0.0,14.2,91.6,15.9,01027
"Cleburne County, Alabama",0.8,53319,73100,76694,9.3,3479,1.4,15.2,90.7,18.0,01029
"Coffee County, Alabama",2.3,64672,81266,79929,10.5,13724,4.7,12.3,89.5,21.0,01031
"Colbert County, Alabama",1.9,56736,74264,70711,7.4,13036,2.8,15.9,92.6,21.6,01033
"Conecuh County, Alabama",3.4,42266,61553,55625,8.2,2434,3.4,17.0,91.8,17.5,01035
"Coosa County, Alabama",2.4,57063,69698,68369,7.4,1865,6.1,13.6,92.6,19.5,01037
"Covington County, Alabama",2.4,50886,73109,65570,10.3,8814,6.0,13.8,89.7,23.1,01039
"Crenshaw County, Alabama",2.5,49040,70635,66523,9.2,3197,7.4,18.4,90.8,18.3,01041
"Cullman County, Alabama",2.4,60916,78002,76098,10.7,21178,3.6,10.3,89.3,21.2,01043
