NAME,unemployment_rate_pct,median_hh_income,mean_hh_income,per_capita_income,poverty_rate_all_pct,poverty_rate_under18_pct,poverty_rate_18to64_pct,snap_pct,no_health_insurance_pct,work_from_home_pct,county_fips
"Autauga County, Alabama",1.4,69841.0,93367,83452.0,7.4,14632,2.7,8.8,92.6,19.0,01001
"Baldwin County, Alabama",1.9,75019.0,100105,92918.0,8.2,53342,4.9,6.8,91.8,19.3,01003
"Barbour County, Alabama",2.6,44290.0,64745,60474.0,10.8,5408,4.7,22.2,89.2,21.4,01005
"Bibb County, Alabama",5.1,51215.0,67735,67222.0,8.3,4611,1.5,20.3,91.7,20.1,01007
"Blount County, Alabama",3.3,61096.0,79203,76388.0,10.2,14287,2.2,12.3,89.8,19.6,01009
"Bullock County, Alabama",2.7,36723.0,51121,45975.0,12.9,2377,1.3,32.9,87.1,13.4,01011
"Butler County, Alabama",3.6,44881.0,69162,64429.0,12.3,4354,6.2,16.4,87.7,18.4,01013
"Calhoun County, Alabama",3.6,55826.0,71879,71552.0,11.1,26783,3.4,17.2,88.9,23.2,01015
"Chambers County, Alabama",2.7,49295.0,65673,63313.0,12.2,7369,4.6,17.1,87.8,21.0,01017
"Cherokee County, Alabama",1.7,50769.0,71062,66392.0,9.0,4923,1.4,11.5,91.0,25.9,01019
"Chilton County, Alabama",3.0,61873.0,75680,74137.0,10.1,11421,2.4,13.9,89.9,18.9,01021
"Choctaw County, Alabama",2.6,44483.0,63315,65982.0,8.2,2666,3.5,16.6,91.8,21.6,01023
"Clarke County, Alabama",6.6,49167.0,73965,72578.0,8.2,5346,1.1,22.5,91.8,20.7,01025
"Clay County, Alabama",1.7,51852.0,71247,61750.0,8.4,3141,0.0,14.2,91.6,15.9,01027
"Cleburne County, Alabama",0.8,53319.0,73100,76694.0,9.3,3479,1.4,15.2,90.7,18.0,01029
"Coffee County, Alabama",2.3,64672.0,81266,79929.0,10.5,13724,4.7,12.3,89.5,21.0,01031
"Colbert County, Alabama",1.9,56736.0,74264,70711.0,7.4,13036,2.8,15.9,92.6,21.6,01033
"Conecuh County, Alabama",3.4,42266.0,61553,55625.0,8.2,2434,3.4,17.0,91.8,17.5,01035
"Coosa County, Alabama",2.4,57063.0,69698,68369.0,7.4,1865,6.1,13.6,92.6,19.5,01037
"Covington County, Alabama",2.4,50886.0,73109,65570.0,10.3,8814,6.0,13.8,89.7,23.1,01039
"Crenshaw County, Alabama",2.5,49040.0,70635,66523.0,9.2,3197,7.4,18.4,90.8,18.3,01041
"Cullman County, Alabama",2.4,60916.0,78002,76098.0,10.7,21178,3.6,10.3,89.3,21.2,01043
"Dale County, Alabama",3.3,53955.0,69759,69752.0,10.9,11975,2.4,17.5,89.1,21.5,01045
"Dallas County, Alabama",5.7,36810.0,55600,52752.0,9.3,9400,1.9,32.5,90.7,19.7,01047
"DeKalb County, Alabama",2.4,51149.0,65789,60315.0,15.0,18426,3.8,16.2,85.0,19.2,01049
"Elmore County, Alabama",2.2,75553.0,96359,91529.0,7.7,20158,3.2,10.8,92.3,22.1,01051
"Escambia County, Alabama",4.5,44447.0,60177,60428.0,11.3,9046,6.0,15.6,88.7,17.6,01053
"Etowah County, Alabama",3.5,53070.0,73124,67790.0,12.2,23344,4.8,15.6,87.8,23.9,01055
"Fayette County, Alabama",4.9,50733.0,69566,71884.0,7.9,3961,1.2,17.7,92.1,24.2,01057
"Franklin County, Alabama",2.0,51493.0,67215,66038.0,11.8,8798,9.0,19.1,88.2,18.6,01059
"Geneva County, Alabama",2.7,50951.0,66098,63658.0,12.8,6051,2.8,17.0,87.2,22.2,01061
"Greene County, Alabama",1.3,31495.0,48047,43606.0,13.8,1630,10.1,30.2,86.2,17.6,01063
"Hale County, Alabama",2.9,41325.0,61740,71159.0,6.3,3749,3.2,26.4,93.7,31.9,01065
"Henry County, Alabama",1.8,60135.0,78795,79127.0,8.0,3769,4.7,14.0,92.0,25.0,01067
"Houston County, Alabama",2.6,57531.0,80048,73929.0,11.7,25953,3.1,16.0,88.3,24.7,01069
"Jackson County, Alabama",2.8,49454.0,67768,63025.0,10.5,11540,2.8,13.6,89.5,18.5,01071
"Jefferson County, Alabama",2.9,64589.0,97165,85260.0,9.2,163461,4.0,13.9,90.8,26.1,01073
"Lamar County, Alabama",3.2,47447.0,60489,60000.0,9.0,3202,0.0,18.6,91.0,19.2,01075
"Lauderdale County, Alabama",2.3,59082.0,78675,79112.0,9.8,20041,5.0,10.8,90.2,21.9,01077
"Lawrence County, Alabama",1.1,60040.0,76640,77233.0,9.2,7662,2.0,15.7,90.8,20.3,01079
"Lee County, Alabama",2.2,61123.0,86713,88725.0,8.7,41483,2.9,10.5,91.3,30.1,01081
"Limestone County, Alabama",2.2,83534.0,105108,101284.0,8.1,24988,2.9,8.1,91.9,19.0,01083
"Lowndes County, Alabama",3.5,35160.0,58417,50041.0,8.5,2381,2.1,27.0,91.5,18.6,01085
"Macon County, Alabama",5.5,45951.0,61698,54493.0,9.1,3944,4.7,22.1,90.9,26.5,01087
"Madison County, Alabama",2.4,83528.0,111962,107322.0,7.7,92092,2.8,8.0,92.3,19.5,01089
"Marengo County, Alabama",1.2,44205.0,67077,72769.0,8.6,4749,1.7,23.4,91.4,26.6,01091
"Marion County, Alabama",3.1,50714.0,66253,66826.0,10.2,6492,1.7,17.8,89.8,24.3,01093
"Marshall County, Alabama",2.1,60946.0,82099,76314.0,11.5,26677,4.1,11.2,88.5,19.3,01095
